"eol_id","Taxa category","Latin name","Italian common name","Florae url ","Acta planctorum url","Floritaly url"
"52831","Genere","Aristolochia","Aristolochia","https://www.florae.it/?id=6751",NULL,NULL
"5104041","Specie","Asarum europaeum","Baccaro comune","https://www.florae.it/?id=6748","http://www.actaplantarum.org/flora/flora_info.php?id=967","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=331"
"46326351","Specie","Viscum album","Viscio comune","https://www.florae.it/?id=6744","http://www.actaplantarum.org/flora/flora_info.php?id=8349","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=326"
"5094195","Specie","Loranthus europaeus","Viscio quercino","https://www.florae.it/?id=6743","http://www.actaplantarum.org/flora/flora_info.php?id=4841","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=325"
"597104","Specie","Arceuthobium oxycedri","Vischio del ginepro","https://www.florae.it/?id=6742","http://www.actaplantarum.org/flora/flora_info.php?id=858","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=330"
"5609726","Specie","Thesium humifusum","Linaiola divaricata","https://www.florae.it/?id=6741","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"5609877","Specie","Thesium pyrenaicum","Linaiola pirenaica","https://www.florae.it/?id=6732","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"5609528","Specie","Thesium alpinum","Linaiola alpina","https://www.florae.it/?id=6731","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"484593","Specie","Thesium linophyllon","Linaiola comune","https://www.florae.it/?id=6730","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"5609554","Specie","Thesium bavarum","Linaiola bavarese","https://www.florae.it/?id=6728","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
